framework,title,speaker,speech_file,brief_summary
Crossroads,The wind of change,Harold Macmillan,the-penguin-book-of-modern-speeches/speeches/094_the-wind-of-change.md,Warns South Africa of inevitable decolonization; contrasts colonialism with emerging African independence.
Rational Advocate,Susan B. Anthony Argues for Women's Rights,Susan B. Anthony,lend-me-your-ears-great-speeches-in-history/speeches/144_susan-b-anthony-argues-for-women-s-rights.md,Constitutional argument that women are persons entitled to vote under the Fourteenth Amendment.
Rational Advocate,Barbara Jordan Makes the Constitutional Case,Barbara Jordan,lend-me-your-ears-great-speeches-in-history/speeches/191_representative-barbara-jordan-makes-the-constitutional-case-for-the-impeachment-of-nixon.md,Jordan marshals constitutional evidence and legal history to make logical case for presidential impeachment.
Rational Advocate,Frederick Douglass Cuts through the Lincoln Myth,Frederick Douglass,lend-me-your-ears-great-speeches-in-history/speeches/043_frederick-douglass-cuts-through-the-lincoln-myth-to-consider-the-man.md,Abolitionist leader Frederick Douglass employs historical analysis and logic to present Lincoln as political pragmatist on slavery rather than moral hero.
Rational Advocate,Security through national armament is a disastrous illusion,Albert Einstein,50-speeches-that-made-the-modern-world/speeches/016_security-through-national-armament-is-a-disastrous-illusion.md,Einstein argues nuclear arms race creates mutual annihilation and calls for international law and trust.
Rational Advocate,With a heavy heart I resign from the government,Robin Cook,the-penguin-book-of-modern-speeches/speeches/165_with-a-heavy-heart-i-resign-from-the-government.md,Parliamentary speech resigning over Iraq War using logic and evidence to oppose military intervention without multilateral support.
Rational Advocate,The People's Budget,David Lloyd George,the-penguin-book-of-modern-speeches/speeches/008_the-people-s-budget.md,Lloyd George defends progressive taxation and social spending on pensions and development as fair public policy.
Rational Advocate,Reducing excessive inequality,Christine Lagarde,50-speeches-that-made-the-modern-world/speeches/047_reducing-excessive-inequality-is-not-just-morally-and-politically-correct-but-it-is-good-economics.md,Lagarde uses economic data and analysis to argue for reducing inequality as both moral imperative and growth strategy.
Rational Advocate,Clarence Darrow Opposes Capital Punishment,Clarence Darrow,lend-me-your-ears-great-speeches-in-history/speeches/080_defense-lawyer-clarence-darrow-answers-a-supporter-of-capital-punishment.md,Defense lawyer uses logical arguments and evidence to refute support for capital punishment.
Call to Conscience,The laws that men have made,Emmeline Pankhurst,50-speeches-that-made-the-modern-world/speeches/001_the-laws-that-men-have-made.md,Pankhurst argues women need voting rights to protect their legal interests in marriage
Call to Conscience,Why do we want to offer this non-cooperation,Mahatma Gandhi,50-speeches-that-made-the-modern-world/speeches/003_why-do-we-want-to-offer-this-non-cooperation.md,Gandhi justifies non-violent non-cooperation as a moral and constitutional duty against British imperial injustice.
Call to Conscience,The ballot or the bullet,Malcolm X,50-speeches-that-made-the-modern-world/speeches/025_the-ballot-or-the-bullet.md,Malcolm X demands Black political power and self-determination over compromise and non-violence.
Call to Conscience,Apartheid's final solution,Desmond Tutu,50-speeches-that-made-the-modern-world/speeches/032_apartheid-s-final-solution.md,Tutu condemns apartheid as systematic injustice and moral evil requiring immediate dismantling.
Call to Conscience,They thought that the bullets would silence us,Malala Yousafzai,50-speeches-that-made-the-modern-world/speeches/046_they-thought-that-the-bullets-would-silence-us-but-they-failed.md,Malala advocates for education rights and women's empowerment through moral appeals and personal testimony.
Call to Conscience,We shall overcome,Lyndon B. Johnson,the-penguin-book-of-modern-speeches/speeches/113_we-shall-overcome.md,Johnson appeals to American moral principles to support voting rights and racial equality.
Call to Conscience,An ideal for which I am prepared to die,Nelson Mandela,the-penguin-book-of-modern-speeches/speeches/108_an-ideal-for-which-i-am-prepared-to-die.md,Mandela defends the ANC's struggle against apartheid and articulates ideals of democratic equality and human dignity.
Call to Conscience,William Pitt the Younger Urges Abolition of the Slave Trade,William Pitt,lend-me-your-ears-great-speeches-in-history/speeches/137_british-statesman-william-pitt-the-younger-urges-abolition-of-the-slave-trade.md,Powerful moral argument for immediate abolition of slavery grounded in justice and Christian principles.
Case History,While there is a lower class I am in it,Eugene V. Debs,the-penguin-book-of-modern-speeches/speeches/022_while-there-is-a-lower-class-i-am-in-it.md,Debs defends his opposition to war and advocacy of socialism through his lifelong solidarity with suffering workers.
Case History,The life of the Negro race has been a life of tragedy,Clarence Darrow,the-penguin-book-of-modern-speeches/speeches/031_the-life-of-the-negro-race-has-been-a-life-of-tragedy.md,Darrow's jury appeal documenting Black suffering and racism while defending a Black man's right to defend his home.
Case History,History will absolve me,Fidel Castro,the-penguin-book-of-modern-speeches/speeches/086_history-will-absolve-me.md,Defense speech using documented examples of torture and tyranny to justify armed resistance against dictatorship.
Case History,Why am I the first Kinnock,Neil Kinnock,the-penguin-book-of-modern-speeches/speeches/141_why-am-i-the-first-kinnock-in-a-thousand-generations-to-be-able-to-get-to-university.md,Emotional testimony using family history to illustrate how collective action enables individual opportunity.
Case History,The plight of women,Emmeline Pankhurst,the-penguin-book-of-modern-speeches/speeches/007_the-plight-of-women.md,Pankhurst exposes inequalities in marriage law and child custody through specific legal examples demonstrating women's lack of protection.
Case History,To be a revolutionary you have first to have a revolution,Ernesto Che Guevara,50-speeches-that-made-the-modern-world/speeches/022_to-be-a-revolutionary-you-have-first-to-have-a-revolution.md,Guevara reflects on his transformation from doctor to revolutionary and urges commitment to collective liberation.
Emotional Escalator,I have a dream,Martin Luther King,50-speeches-that-made-the-modern-world/speeches/024_i-have-a-dream.md,King envisions multiracial equality rooted in American ideals while demanding immediate justice.
Emotional Escalator,Freedom or death,Emmeline Pankhurst,the-penguin-book-of-modern-speeches/speeches/011_freedom-or-death.md,Pankhurst justifies militant suffrage tactics as necessary civil war escalation to achieve women's fundamental right to vote.
Emotional Escalator,On this day of my release,Nelson Mandela,50-speeches-that-made-the-modern-world/speeches/035_on-this-day-of-my-release.md,Mandela builds from gratitude through calls for democratic transformation to commitment to continued struggle against apartheid.
Emotional Escalator,A tiny ripple of hope,Robert Kennedy,the-penguin-book-of-modern-speeches/speeches/115_a-tiny-ripple-of-hope.md,Kennedy builds emotional intensity from individual hope to global transformation
Emotional Escalator,Keep hope alive,Jesse Jackson,the-penguin-book-of-modern-speeches/speeches/143_keep-hope-alive.md,Powerful personal narrative and exhortation building from struggle to hope and moral determination.
Emotional Escalator,Yes we can,Barack Obama,the-penguin-book-of-modern-speeches/speeches/170_yes-we-can.md,Election victory speech building emotional intensity through historical narrative toward commitment to collective action.
Emotional Escalator,I warn you,Neil Kinnock,the-penguin-book-of-modern-speeches/speeches/134_i-warn-you.md,Powerful political warning of hardship through vivid consequences of Conservative reelection.
Emotional Escalator,Maria Stewart Advocates Education for Black Women,Maria Stewart,lend-me-your-ears-great-speeches-in-history/speeches/139_social-reformer-maria-stewart-advocates-education-for-black-women.md,First public speech by an American woman calling for Black women's education and economic independence.
